observation_date,GDP_Deflator,Annual_Change_in_Prices
2003-01-01,76.43632540498734,
2004-01-01,78.9289129788883,3.2609986949193814
2005-01-01,81.3894393659649,3.117395507188525
2006-01-01,83.481849276158,2.570861682416381
2007-01-01,86.23546837166916,3.2984644199749225
2008-01-01,89.68171371015002,3.9963200798397436
2009-01-01,87.59679194482526,-2.324801432835244
2010-01-01,90.09211024244712,2.848641191327639
2011-01-01,93.01504617455015,3.244386133521693
2012-01-01,94.14807157020778,1.2181098029359738
2013-01-01,95.78715766543074,1.7409661906889529
2014-01-01,97.64676927331651,1.9413997170488084
2015-01-01,96.79930183739415,-0.8678909115264921
2016-01-01,97.49357111298299,0.7172254989556537
2017-01-01,99.99994744565136,2.570811904883241
2018-01-01,101.65129428387203,1.651347706075712
2019-01-01,103.22275814812186,1.5459359128879857
2020-01-01,104.32812673205689,1.0708574385784653
2021-01-01,112.32467460931154,7.664805386367157
2022-01-01,120.92170905961403,7.653736349742157
2023-01-01,122.77756031369273,1.5347544030855254
